Estado/Numero,0,1,2,3,4,5,6,7,8,9
0,0.07710280373831775,0.11488250652741515,0.08801955990220049,0.1141552511415525,0.06997742663656885,0.09864603481624758,0.09913793103448276,0.11752136752136752,0.08384458077709611,0.09255079006772009
1,0.07476635514018691,0.0783289817232376,0.08068459657701711,0.0776255707762557,0.11286681715575621,0.09284332688588008,0.09698275862068965,0.07478632478632478,0.07566462167689161,0.08803611738148984
2,0.08411214953271028,0.09921671018276762,0.10024449877750612,0.0867579908675799,0.11060948081264109,0.09090909090909091,0.10344827586206896,0.0876068376068376,0.07566462167689161,0.07674943566591422
3,0.08177570093457943,0.08877284595300261,0.09046454767726161,0.11187214611872145,0.1038374717832957,0.10058027079303675,0.10129310344827586,0.09829059829059829,0.09815950920245399,0.09932279909706546
4,0.12383177570093458,0.1227154046997389,0.11491442542787286,0.08447488584474885,0.11286681715575621,0.0851063829787234,0.10344827586206896,0.08974358974358974,0.09202453987730061,0.06997742663656885
5,0.1191588785046729,0.08877284595300261,0.1100244498777506,0.1232876712328767,0.12641083521444696,0.10058027079303675,0.11853448275862069,0.12606837606837606,0.1329243353783231,0.1038374717832957
6,0.0911214953271028,0.10704960835509138,0.10268948655256724,0.0776255707762557,0.09029345372460497,0.10251450676982592,0.08836206896551724,0.10683760683760683,0.130879345603272,0.13544018058690746
7,0.12383177570093458,0.0835509138381201,0.097799511002445,0.1050228310502283,0.09932279909706546,0.10638297872340426,0.08836206896551724,0.09829059829059829,0.11042944785276074,0.12641083521444696
8,0.14018691588785046,0.10966057441253264,0.09535452322738386,0.11187214611872145,0.09480812641083522,0.11992263056092843,0.09698275862068965,0.09829059829059829,0.1083844580777096,0.11512415349887133
9,0.08411214953271028,0.10704960835509138,0.1198044009779951,0.10730593607305935,0.07900677200902935,0.10251450676982592,0.10344827586206896,0.10256410256410256,0.09202453987730061,0.09255079006772009
