Estado/Numero,0,1,2,3,4,5,6,7,8,9
0,0.10375275938189846,0.1237721021611002,0.0872210953346856,0.09456264775413711,0.10869565217391304,0.11697247706422019,0.08860759493670886,0.07872340425531915,0.11434511434511435,0.08839779005524862
1,0.11037527593818984,0.10412573673870335,0.11561866125760649,0.1016548463356974,0.15434782608695652,0.11238532110091744,0.09620253164556962,0.12127659574468085,0.10395010395010396,0.1132596685082873
2,0.10816777041942605,0.0962671905697446,0.0973630831643002,0.12529550827423167,0.11521739130434783,0.11009174311926606,0.12151898734177215,0.1276595744680851,0.11434511434511435,0.08287292817679558
3,0.08167770419426049,0.08447937131630648,0.10344827586206896,0.10638297872340426,0.0782608695652174,0.10550458715596331,0.10886075949367088,0.07446808510638298,0.08316008316008316,0.1298342541436464
4,0.12582781456953643,0.0962671905697446,0.12170385395537525,0.09929078014184398,0.10434782608695652,0.0963302752293578,0.08860759493670886,0.08085106382978724,0.0997920997920998,0.11049723756906077
5,0.08830022075055188,0.09233791748526522,0.11359026369168357,0.09219858156028368,0.09565217391304348,0.10091743119266056,0.09367088607594937,0.09787234042553192,0.10395010395010396,0.09116022099447514
6,0.0728476821192053,0.10216110019646366,0.07910750507099391,0.10401891252955082,0.08478260869565217,0.09862385321100918,0.07848101265822785,0.08936170212765958,0.07692307692307693,0.09944751381215469
7,0.10154525386313466,0.11394891944990176,0.09533468559837728,0.10638297872340426,0.11304347826086956,0.09403669724770643,0.1189873417721519,0.10212765957446808,0.0997920997920998,0.10497237569060773
8,0.11920529801324503,0.09823182711198428,0.11156186612576065,0.09692671394799054,0.09565217391304348,0.0963302752293578,0.13164556962025317,0.11702127659574468,0.11226611226611227,0.09392265193370165
9,0.08830022075055188,0.08840864440078586,0.07505070993914807,0.07328605200945626,0.05,0.06880733944954129,0.07341772151898734,0.11063829787234042,0.09147609147609148,0.0856353591160221
