Estado/Numero,0,1,2,3,4,5,6,7,8,9
0,0.05483028720626632,0.07894736842105263,0.08808290155440414,0.08210526315789474,0.08545034642032333,0.096579476861167,0.10204081632653061,0.07740585774058577,0.09649122807017543,0.0880503144654088
1,0.10443864229765012,0.08991228070175439,0.14248704663212436,0.0968421052631579,0.09468822170900693,0.08450704225352113,0.11564625850340136,0.10251046025104603,0.09210526315789473,0.10272536687631027
2,0.09660574412532637,0.08991228070175439,0.09067357512953368,0.08210526315789474,0.09930715935334873,0.07042253521126761,0.07709750566893424,0.08577405857740586,0.07675438596491228,0.09643605870020965
3,0.1566579634464752,0.09649122807017543,0.11658031088082901,0.0968421052631579,0.12009237875288684,0.0925553319919517,0.08163265306122448,0.10251046025104603,0.10307017543859649,0.10482180293501048
4,0.10182767624020887,0.10087719298245613,0.10880829015544041,0.08842105263157894,0.08545034642032333,0.08450704225352113,0.10430839002267574,0.1108786610878661,0.08552631578947369,0.09643605870020965
5,0.1122715404699739,0.10307017543859649,0.07253886010362694,0.13052631578947368,0.10392609699769054,0.10663983903420524,0.11791383219954649,0.10460251046025104,0.1337719298245614,0.11949685534591195
6,0.09138381201044386,0.09210526315789473,0.10621761658031088,0.12210526315789473,0.08545034642032333,0.12474849094567404,0.08843537414965986,0.0899581589958159,0.10307017543859649,0.07756813417190776
7,0.0835509138381201,0.10307017543859649,0.10103626943005181,0.1031578947368421,0.11316397228637413,0.11267605633802817,0.10884353741496598,0.1192468619246862,0.09429824561403509,0.12159329140461216
8,0.09660574412532637,0.1206140350877193,0.06994818652849741,0.09473684210526316,0.12240184757505773,0.11670020120724346,0.08616780045351474,0.08786610878661087,0.11403508771929824,0.10272536687631027
9,0.10182767624020887,0.125,0.10362694300518134,0.1031578947368421,0.09006928406466513,0.11066398390342053,0.11791383219954649,0.1192468619246862,0.10087719298245613,0.09014675052410902
